movieId,title,genres,director,actors,year,avg_rating,num_ratings
41154,Men in Black 3,Action|Comedy|Science Fiction,Barry Sonnenfeld,Will Smith|Tommy Lee Jones|Josh Brolin|Michael Stuhlbarg|Emma Thompson,2012,6.2,4160
122917,The Hobbit: The Battle of the Five Armies,Action|Adventure|Fantasy,Peter Jackson,Martin Freeman|Ian McKellen|Richard Armitage|Ken Stott|Graham McTavish,2014,7.1,4760
1930,The Amazing Spider-Man,Action|Adventure|Fantasy,Marc Webb,Andrew Garfield|Emma Stone|Rhys Ifans|Denis Leary|Campbell Scott,2012,6.5,6586
20662,Robin Hood,Action|Adventure,Ridley Scott,Russell Crowe|Cate Blanchett|Max von Sydow|William Hurt|Mark Strong,2010,6.2,1398
57158,The Hobbit: The Desolation of Smaug,Adventure|Fantasy,Peter Jackson,Martin Freeman|Ian McKellen|Richard Armitage|Ken Stott|Graham McTavish,2013,7.6,4524
2268,The Golden Compass,Adventure|Fantasy,Chris Weitz,Dakota Blue Richards|Nicole Kidman|Daniel Craig|Sam Elliott|Eva Green,2007,5.8,1303
254,King Kong,Adventure|Drama|Action,Peter Jackson,Naomi Watts|Jack Black|Adrien Brody|Thomas Kretschmann|Colin Hanks,2005,6.6,2337
597,Titanic,Drama|Romance|Thriller,James Cameron,Kate Winslet|Leonardo DiCaprio|Frances Fisher|Billy Zane|Kathy Bates,1997,7.5,7562
271110,Captain America: Civil War,Adventure|Action|Science Fiction,Anthony Russo,Chris Evans|Robert Downey Jr.|Scarlett Johansson|Sebastian Stan|Anthony Mackie,2016,7.1,7241
44833,Battleship,Thriller|Action|Adventure|Science Fiction,Peter Berg,Taylor Kitsch|Alexander Skarsgård|Rihanna|Brooklyn Decker|Tadanobu Asano,2012,5.5,2114
135397,Jurassic World,Action|Adventure|Science Fiction|Thriller,Colin Trevorrow,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,2015,6.5,8662
37724,Skyfall,Action|Adventure|Thriller,Sam Mendes,Daniel Craig|Judi Dench|Javier Bardem|Ralph Fiennes|Naomie Harris,2012,6.9,7604
558,Spider-Man 2,Action|Adventure|Fantasy,Sam Raimi,Tobey Maguire|Kirsten Dunst|James Franco|Alfred Molina|Rosemary Harris,2004,6.7,4321
68721,Iron Man 3,Action|Adventure|Science Fiction,Shane Black,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle|Guy Pearce|Rebecca Hall,2013,6.8,8806
12155,Alice in Wonderland,Family|Fantasy|Adventure,Tim Burton,Mia Wasikowska|Johnny Depp|Anne Hathaway|Helena Bonham Carter|Crispin Glover,2010,6.4,4645
36668,X-Men: The Last Stand,Adventure|Action|Science Fiction|Thriller,Brett Ratner,Hugh Jackman|Halle Berry|Ian McKellen|Patrick Stewart|Famke Janssen,2006,6.3,3525
62211,Monsters University,Animation|Family,Dan Scanlon,Billy Crystal|John Goodman|Steve Buscemi|Helen Mirren|Noah Johnston,2013,7.0,3528
8373,Transformers: Revenge of the Fallen,Science Fiction|Action|Adventure,Michael Bay,Shia LaBeouf|Megan Fox|Josh Duhamel|Rainn Wilson|Tyrese Gibson,2009,6.0,3138
91314,Transformers: Age of Extinction,Science Fiction|Action|Adventure,Michael Bay,Mark Wahlberg|Stanley Tucci|Kelsey Grammer|Nicola Peltz|Jack Reynor,2014,5.8,3095
68728,Oz: The Great and Powerful,Fantasy|Adventure|Family,Sam Raimi,James Franco|Mila Kunis|Rachel Weisz|Michelle Williams|Zach Braff,2013,5.7,3530
102382,The Amazing Spider-Man 2,Action|Adventure|Fantasy,Marc Webb,Andrew Garfield|Emma Stone|Jamie Foxx|Dane DeHaan|Campbell Scott,2014,6.5,4179
20526,TRON: Legacy,Adventure|Action|Science Fiction,Joseph Kosinski,Garrett Hedlund|Jeff Bridges|Olivia Wilde|Bruce Boxleitner|Yaya DaCosta,2010,6.3,2841
49013,Cars 2,Animation|Family|Adventure|Comedy,John Lasseter,Owen Wilson|Larry the Cable Guy|Michael Caine|Emily Mortimer|John Turturro,2011,5.8,2033
44912,Green Lantern,Adventure|Action|Thriller|Science Fiction,Martin Campbell,Ryan Reynolds|Blake Lively|Peter Sarsgaard|Tim Robbins|Mark Strong,2011,5.1,2487
10193,Toy Story 3,Animation|Family|Comedy,Lee Unkrich,Tom Hanks|Tim Allen|Ned Beatty|Joan Cusack|Michael Keaton,2010,7.6,4597
534,Terminator Salvation,Action|Science Fiction|Thriller,McG,Christian Bale|Sam Worthington|Anton Yelchin|Moon Bloodgood|Bryce Dallas Howard,2009,5.9,2463
168259,Furious 7,Action,James Wan,Vin Diesel|Paul Walker|Dwayne Johnson|Michelle Rodriguez|Tyrese Gibson,2015,7.3,4176
72190,World War Z,Action|Drama|Horror|Science Fiction|Thriller,Marc Forster,Brad Pitt|Mireille Enos|Abigail Hargrove|Sterling Jerins|James Badge Dale,2013,6.7,5560
127585,X-Men: Days of Future Past,Action|Adventure|Fantasy|Science Fiction,Bryan Singer,Hugh Jackman|James McAvoy|Michael Fassbender|Jennifer Lawrence|Halle Berry,2014,7.5,6032
54138,Star Trek Into Darkness,Action|Adventure|Science Fiction,J.J. Abrams,Chris Pine|Zachary Quinto|Zoe Saldana|Karl Urban|Simon Pegg,2013,7.4,4418
81005,Jack the Giant Slayer,Action|Family|Fantasy,Bryan Singer,Nicholas Hoult|Eleanor Tomlinson|Ewan McGregor|Stanley Tucci|Ian McShane,2013,5.5,2598
64682,The Great Gatsby,Drama|Romance,Baz Luhrmann,Leonardo DiCaprio|Tobey Maguire|Carey Mulligan|Joel Edgerton|Elizabeth Debicki,2013,7.3,3769
9543,Prince of Persia: The Sands of Time,Adventure|Fantasy|Action|Romance,Mike Newell,Jake Gyllenhaal|Gemma Arterton|Ben Kingsley|Alfred Molina|Steve Toussaint,2010,6.2,2317
68726,Pacific Rim,Action|Science Fiction|Adventure,Guillermo del Toro,Idris Elba|Charlie Hunnam|Charlie Day|Ron Perlman|Burn Gorman,2013,6.7,4794
38356,Transformers: Dark of the Moon,Action|Science Fiction|Adventure,Michael Bay,Shia LaBeouf|John Malkovich|Ken Jeong|Frances McDormand|Josh Duhamel,2011,6.1,3299
217,Indiana Jones and the Kingdom of the Crystal Skull,Adventure|Action,Steven Spielberg,Harrison Ford|Cate Blanchett|Shia LaBeouf|Ray Winstone|Karen Allen,2008,5.7,2495
105864,The Good Dinosaur,Adventure|Animation|Family,Peter Sohn,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,2015,6.6,1736
62177,Brave,Animation|Adventure|Comedy|Family|Action|Fantasy,Brenda Chapman,Kelly Macdonald|Julie Walters|Billy Connolly|Emma Thompson|Kevin McKidd,2012,6.7,4641
188927,Star Trek Beyond,Action|Adventure|Science Fiction,Justin Lin,Chris Pine|Zachary Quinto|Karl Urban|Simon Pegg|Zoe Saldana,2016,6.6,2568
10681,WALL·E,Animation|Family,Andrew Stanton,Ben Burtt|Elissa Knight|Jeff Garlin|Fred Willard|John Ratzenberger,2008,7.8,6296
5174,Rush Hour 3,Action|Comedy|Crime|Thriller,Brett Ratner,Chris Tucker|Jackie Chan|Hiroyuki Sanada|Max von Sydow|Yvan Attal,2007,6.1,783
14161,2012,Action|Adventure|Science Fiction,Roland Emmerich,John Cusack|Amanda Peet|Chiwetel Ejiofor|Thandie Newton|Oliver Platt,2009,5.6,4903
17979,A Christmas Carol,Animation|Drama,Robert Zemeckis,Gary Oldman|Jim Carrey|Steve Valentine|Daryl Sabara|Sage Ryan,2009,6.6,1095
76757,Jupiter Ascending,Science Fiction|Fantasy|Action|Adventure,Lilly Wachowski,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,2015,5.2,2768
258489,The Legend of Tarzan,Action|Adventure,David Yates,Alexander Skarsgård|Margot Robbie|Christoph Waltz|Samuel L. Jackson|Djimon Hounsou,2016,5.5,2430
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure|Family|Fantasy,Andrew Adamson,William Moseley|Anna Popplewell|Skandar Keynes|Georgie Henley|Liam Neeson,2005,6.7,2629
246655,X-Men: Apocalypse,Science Fiction,Bryan Singer,James McAvoy|Michael Fassbender|Jennifer Lawrence|Nicholas Hoult|Oscar Isaac,2016,6.4,4721
155,The Dark Knight,Drama|Action|Crime|Thriller,Christopher Nolan,Christian Bale|Heath Ledger|Aaron Eckhart|Michael Caine|Maggie Gyllenhaal,2008,8.2,12002
14160,Up,Animation|Comedy|Family|Adventure,Pete Docter,Ed Asner|Christopher Plummer|Jordan Nagai|Bob Peterson|Delroy Lindo,2009,7.7,6870
15512,Monsters vs Aliens,Animation|Family|Adventure|Science Fiction,Conrad Vernon,Seth Rogen|Reese Witherspoon|Hugh Laurie|Paul Rudd|Kiefer Sutherland,2009,6.0,1423
1726,Iron Man,Action|Science Fiction|Adventure,Jon Favreau,Robert Downey Jr.|Terrence Howard|Jeff Bridges|Shaun Toub|Gwyneth Paltrow,2008,7.4,8776
44826,Hugo,Adventure|Drama|Family,Martin Scorsese,Ben Kingsley|Sacha Baron Cohen|Asa Butterfield|Chloë Grace Moretz|Ray Winstone,2011,7.0,2141
8487,Wild Wild West,Action|Adventure|Comedy|Science Fiction|Western,Barry Sonnenfeld,Will Smith|Kevin Kline|Kenneth Branagh|Salma Hayek|M. Emmet Walsh,1999,5.1,1020
1735,The Mummy: Tomb of the Dragon Emperor,Adventure|Action|Fantasy,Rob Cohen,Brendan Fraser|Jet Li|John Hannah|Maria Bello|Luke Ford,2008,5.2,1387
297761,Suicide Squad,Action|Adventure|Crime|Fantasy|Science Fiction,David Ayer,Will Smith|Margot Robbie|Joel Kinnaman|Viola Davis|Jared Leto,2016,5.9,7458
2698,Evan Almighty,Fantasy|Comedy|Family,Tom Shadyac,Steve Carell|Lauren Graham|John Goodman|Jimmy Bennett|John Michael Higgins,2007,5.3,1151
137113,Edge of Tomorrow,Action|Science Fiction,Doug Liman,Tom Cruise|Emily Blunt|Brendan Gleeson|Bill Paxton|Jonas Armstrong,2014,7.6,4858
9804,Waterworld,Adventure|Action,Kevin Reynolds,Kevin Costner|Chaim Girafi|Rick Aviles|R. D. Call|Zitto Kazann,1995,5.9,992
14869,G.I. Joe: The Rise of Cobra,Adventure|Action|Thriller|Science Fiction,Stephen Sommers,Dennis Quaid|Channing Tatum|Marlon Wayans|Sienna Miller|Joseph Gordon-Levitt,2009,5.6,1962
150540,Inside Out,Drama|Comedy|Animation|Family,Pete Docter,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,2015,8.0,6560
278927,The Jungle Book,Family|Adventure|Drama|Fantasy,Jon Favreau,Neel Sethi|Bill Murray|Ben Kingsley|Idris Elba|Scarlett Johansson,2016,6.7,2892
10138,Iron Man 2,Adventure|Action|Science Fiction,Jon Favreau,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle|Scarlett Johansson|Mickey Rourke,2010,6.6,6849
58595,Snow White and the Huntsman,Adventure|Fantasy|Drama,Rupert Sanders,Kristen Stewart|Charlize Theron|Chris Hemsworth|Sam Claflin|Ian McShane,2012,5.8,3118
102651,Maleficent,Fantasy|Adventure|Action|Family|Romance,Robert Stromberg,Angelina Jolie|Elle Fanning|Sharlto Copley|Sam Riley|Juno Temple,2014,7.0,4496
119450,Dawn of the Planet of the Apes,Science Fiction|Action|Drama|Thriller,Matt Reeves,Andy Serkis|Jason Clarke|Gary Oldman|Keri Russell|Toby Kebbell,2014,7.3,4410
79698,The Lovers,Action|Adventure|Science Fiction|Romance,Roland Joffé,Josh Hartnett|Simone Kessell|Tamsin Egerton|Alice Englert|Bipasha Basu,2015,4.8,34
64686,47 Ronin,Drama|Action|Adventure|Fantasy,Carl Rinsch,Keanu Reeves|Hiroyuki Sanada|Kou Shibasaki|Tadanobu Asano|Min Tanaka,2013,5.9,1326
100402,Captain America: The Winter Soldier,Action|Adventure|Science Fiction,Anthony Russo,Chris Evans|Samuel L. Jackson|Scarlett Johansson|Robert Redford|Sebastian Stan,2014,7.6,5764
10192,Shrek Forever After,Comedy|Adventure|Fantasy|Animation|Family,Mike Mitchell,Mike Myers|Eddie Murphy|Cameron Diaz|Antonio Banderas|Julie Andrews,2010,6.0,1959
158852,Tomorrowland,Adventure|Family|Mystery|Science Fiction,Brad Bird,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,2015,6.2,2846
177572,Big Hero 6,Adventure|Family|Animation|Action|Comedy,Chris Williams,Scott Adsit|Ryan Potter|Daniel Henney|T.J. Miller|Jamie Chung,2014,7.8,6135
82690,Wreck-It Ralph,Family|Animation|Comedy|Adventure,Rich Moore,John C. Reilly|Sarah Silverman|Jack McBrayer|Jane Lynch|Alan Tudyk,2012,7.1,4570
5255,The Polar Express,Adventure|Animation|Family|Fantasy,Robert Zemeckis,Tom Hanks|Michael Jeter|Nona Gaye|Peter Scolari|Eddie Deezen,2004,6.4,1474
47933,Independence Day: Resurgence,Action|Adventure|Science Fiction,Roland Emmerich,Liam Hemsworth|Jeff Goldblum|Bill Pullman|Maika Monroe|Sela Ward,2016,4.9,2491
10191,How to Train Your Dragon,Fantasy|Adventure|Animation|Family,Chris Sanders,Jay Baruchel|Gerard Butler|Craig Ferguson|America Ferrera|Jonah Hill,2010,7.5,4227
296,Terminator 3: Rise of the Machines,Action|Thriller|Science Fiction,Jonathan Mostow,Arnold Schwarzenegger|Nick Stahl|Claire Danes|Kristanna Loken|David Andrews,2003,5.9,2143
118340,Guardians of the Galaxy,Action|Science Fiction|Adventure,James Gunn,Chris Pratt|Zoe Saldana|Dave Bautista|Vin Diesel|Bradley Cooper,2014,7.9,9742
157336,Interstellar,Adventure|Drama|Science Fiction,Christopher Nolan,Matthew McConaughey|Jessica Chastain|Anne Hathaway|Michael Caine|Casey Affleck,2014,8.1,10867
27205,Inception,Action|Thriller|Science Fiction|Mystery|Adventure,Christopher Nolan,Leonardo DiCaprio|Joseph Gordon-Levitt|Ellen Page|Tom Hardy|Ken Watanabe,2010,8.1,13752
315011,Shin Godzilla,Action|Adventure|Drama|Horror|Science Fiction,Hideaki Anno,Hiroki Hasegawa|Yutaka Takenouchi|Satomi Ishihara|Kengo Kora|Matsuo Satoru,2016,6.5,143
49051,The Hobbit: An Unexpected Journey,Adventure|Fantasy|Action,Peter Jackson,Ian McKellen|Martin Freeman|Richard Armitage|Andy Serkis|Cate Blanchett,2012,7.0,8297
9799,The Fast and the Furious,Action|Crime|Thriller,Rob Cohen,Paul Walker|Vin Diesel|Michelle Rodriguez|Jordana Brewster|Rick Yune,2001,6.6,3428
4922,The Curious Case of Benjamin Button,Fantasy|Drama|Thriller|Mystery|Romance,David Fincher,Cate Blanchett|Brad Pitt|Tilda Swinton|Julia Ormond|Elle Fanning,2008,7.3,3292
49538,X-Men: First Class,Action|Science Fiction|Adventure,Matthew Vaughn,James McAvoy|Michael Fassbender|Jennifer Lawrence|Kevin Bacon|Rose Byrne,2011,7.1,5181
131634,The Hunger Games: Mockingjay - Part 2,Action|Adventure|Science Fiction,Francis Lawrence,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,2015,6.6,3984
27022,The Sorcerer's Apprentice,Fantasy|Adventure|Action|Comedy|Drama,Jon Turteltaub,Nicolas Cage|Jay Baruchel|Monica Bellucci|Alfred Molina|Teresa Palmer,2010,5.8,1470
503,Poseidon,Adventure|Action|Drama|Thriller,Wolfgang Petersen,Kurt Russell|Richard Dreyfuss|Josh Lucas|Jacinda Barrett|Emmy Rossum,2006,5.5,583
241259,Alice Through the Looking Glass,Fantasy,James Bobin,Johnny Depp|Mia Wasikowska|Anne Hathaway|Helena Bonham Carter|Alan Rickman,2016,6.5,1725
810,Shrek the Third,Fantasy|Adventure|Animation|Comedy|Family,Chris Miller,Mike Myers|Eddie Murphy|Cameron Diaz|Julie Andrews|Antonio Banderas,2007,6.0,2278
68735,Warcraft,Action|Adventure|Fantasy,Duncan Jones,Paula Patton|Travis Fimmel|Ben Foster|Robert Kazinsky|Dominic Cooper,2016,6.3,2268
87101,Terminator Genisys,Science Fiction|Action|Thriller|Adventure,Alan Taylor,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,2015,5.8,3631
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure|Family|Fantasy,Michael Apted,Skandar Keynes|Georgie Henley|Simon Pegg|Gary Sweet|Arthur Angel,2010,6.2,1514
676,Pearl Harbor,History|Romance|War,Michael Bay,Ben Affleck|Josh Hartnett|Kate Beckinsale|Cuba Gooding Jr.|Jon Voight,2001,6.6,1791
1858,Transformers,Adventure|Science Fiction|Action,Michael Bay,Shia LaBeouf|Josh Duhamel|Megan Fox|Rachael Taylor|Tyrese Gibson,2007,6.6,4040
1966,Alexander,War|History|Action|Adventure|Drama|Romance,Oliver Stone,Colin Farrell|Angelina Jolie|Val Kilmer|Jared Leto|Jonathan Rhys Meyers,2004,5.6,927
675,Harry Potter and the Order of the Phoenix,Adventure|Fantasy|Family|Mystery,David Yates,Daniel Radcliffe|Rupert Grint|Emma Watson|Michael Gambon|Ralph Fiennes,2007,7.4,5494
674,Harry Potter and the Goblet of Fire,Adventure|Fantasy|Family,Mike Newell,Daniel Radcliffe|Rupert Grint|Emma Watson|Ralph Fiennes|Michael Gambon,2005,7.5,5608
8960,Hancock,Fantasy|Action,Peter Berg,Will Smith|Charlize Theron|Jason Bateman|Jae Head|Eddie Marsan,2008,6.2,2961
6479,I Am Legend,Drama|Horror|Action|Thriller|Science Fiction,Francis Lawrence,Will Smith|Alice Braga|Charlie Tahan|Salli Richardson-Whitfield|Willow Smith,2007,6.9,4853
118,Charlie and the Chocolate Factory,Adventure|Comedy|Family|Fantasy,Tim Burton,Johnny Depp|Freddie Highmore|David Kelly|AnnaSophia Robb|Julia Winter,2005,6.7,3624
2062,Ratatouille,Animation|Comedy|Family|Fantasy,Jan Pinkava,Patton Oswalt|Ian Holm|Lou Romano|Brian Dennehy|Peter Sohn,2007,7.5,4369
272,Batman Begins,Action|Crime|Drama,Christopher Nolan,Christian Bale|Michael Caine|Liam Neeson|Katie Holmes|Gary Oldman,2005,7.5,7359
10527,Madagascar: Escape 2 Africa,Family|Animation,Eric Darnell,Ben Stiller|Jada Pinkett Smith|David Schwimmer|Chris Rock|Cedric the Entertainer,2008,6.2,1810
18360,Night at the Museum: Battle of the Smithsonian,Adventure|Fantasy|Action|Comedy|Family,Shawn Levy,Ben Stiller|Amy Adams|Owen Wilson|Hank Azaria|Robin Williams,2009,5.9,1971
2080,X-Men Origins: Wolverine,Adventure|Action|Thriller|Science Fiction,Gavin Hood,Hugh Jackman|Liev Schreiber|Danny Huston|Lynn Collins|Ryan Reynolds,2009,6.2,4021
605,The Matrix Revolutions,Adventure|Action|Thriller|Science Fiction,Lilly Wachowski,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Mary Alice,2003,6.4,3096
109445,Frozen,Animation|Adventure|Family,Chris Buck,Kristen Bell|Idina Menzel|Jonathan Groff|Josh Gad|Santino Fontana,2013,7.3,5295
604,The Matrix Reloaded,Adventure|Action|Thriller|Science Fiction,Lilly Wachowski,Keanu Reeves|Carrie-Anne Moss|Laurence Fishburne|Hugo Weaving|Helmut Bakaitis,2003,6.7,3443
76338,Thor: The Dark World,Action|Adventure|Fantasy,Alan Taylor,Chris Hemsworth|Natalie Portman|Tom Hiddleston|Anthony Hopkins|Christopher Eccleston,2013,6.8,4755
76341,Mad Max: Fury Road,Action|Adventure|Science Fiction|Thriller,George Miller,Tom Hardy|Charlize Theron|Nicholas Hoult|Hugh Keays-Byrne|Josh Helman,2015,7.2,9427
13448,Angels & Demons,Thriller|Mystery,Ron Howard,Tom Hanks|Ewan McGregor|Ayelet Zurer|Stellan Skarsgård|Pierfrancesco Favino,2009,6.5,2129
10195,Thor,Adventure|Fantasy|Action,Kenneth Branagh,Chris Hemsworth|Natalie Portman|Tom Hiddleston|Anthony Hopkins|Stellan Skarsgård,2011,6.6,6525
13053,Bolt,Animation|Family|Adventure|Comedy,Chris Williams,John Travolta|Miley Cyrus|Susie Essman|Mark Walton|Malcolm McDowell,2008,6.3,1750
19585,G-Force,Fantasy|Action|Adventure|Family|Comedy,Hoyt Yeatman,Sam Rockwell|Penélope Cruz|Tracy Morgan|Jon Favreau|Steve Buscemi,2009,5.1,510
57165,Wrath of the Titans,Adventure,Jonathan Liebesman,Sam Worthington|Liam Neeson|Ralph Fiennes|Edgar Ramírez|Toby Kebbell,2012,5.5,1431
62213,Dark Shadows,Comedy|Fantasy,Tim Burton,Johnny Depp|Michelle Pfeiffer|Helena Bonham Carter|Jackie Earle Haley|Jonny Lee Miller,2012,5.7,2320
177677,Mission: Impossible - Rogue Nation,Action|Adventure|Thriller,Christopher McQuarrie,Tom Cruise|Rebecca Ferguson|Simon Pegg|Jeremy Renner|Ving Rhames,2015,7.1,3224
7978,The Wolfman,Drama|Horror|Thriller,Joe Johnston,Benicio del Toro|Anthony Hopkins|Emily Blunt|Hugo Weaving|Cristina Contes,2010,5.5,549
5559,Bee Movie,Family|Animation|Adventure|Comedy,Steve Hickner,Jerry Seinfeld|Renée Zellweger|Jim Cummings|Matthew Broderick|Patrick Warburton,2007,5.7,1171
49444,Kung Fu Panda 2,Animation|Family,Jennifer Yuh Nelson,Jack Black|Angelina Jolie|Dustin Hoffman|Gary Oldman|Jackie Chan,2011,6.7,1880
10196,The Last Airbender,Action|Adventure|Family|Fantasy,M. Night Shyamalan,Noah Ringer|Nicola Peltz|Jackson Rathbone|Dev Patel|Shaun Toub,2010,4.7,1151
956,Mission: Impossible III,Adventure|Action|Thriller,J.J. Abrams,Tom Cruise|Philip Seymour Hoffman|Ving Rhames|Billy Crudup|Jonathan Rhys Meyers,2006,6.5,2028
117251,White House Down,Action|Drama|Thriller,Roland Emmerich,Channing Tatum|Jamie Foxx|Joey King|Maggie Gyllenhaal|Richard Jenkins,2013,6.4,1891
50321,Mars Needs Moms,Adventure|Animation|Family,Simon Wells,Seth Green|Joan Cusack|Dan Fogler|Breckin Meyer|Elisabeth Harnois,2011,5.5,199
11619,Flushed Away,Adventure|Animation|Comedy|Family,David Bowers,Hugh Jackman|Kate Winslet|Ian McKellen|Jean Reno|Bill Nighy,2006,6.0,874
266647,Pan,Adventure|Family|Fantasy,Joe Wright,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,2015,5.9,954
82703,Mr. Peabody & Sherman,Animation|Adventure|Family,Rob Minkoff,Ty Burrell|Max Charles|Ariel Winter|Allison Janney|Ellie Kemper,2014,6.7,843
652,Troy,Adventure|Drama|War,Wolfgang Petersen,Brad Pitt|Orlando Bloom|Eric Bana|Brian Cox|Sean Bean,2004,6.9,2759
80321,Madagascar 3: Europe's Most Wanted,Animation|Family,Conrad Vernon,Ben Stiller|Sacha Baron Cohen|David Schwimmer|Frances McDormand|Chris Rock,2012,6.4,1808
36669,Die Another Day,Adventure|Action|Thriller,Lee Tamahori,Pierce Brosnan|Halle Berry|Rosamund Pike|Rick Yune|Toby Stephens,2002,5.8,1092
43074,Ghostbusters,Action|Fantasy|Comedy,Paul Feig,Melissa McCarthy|Kristen Wiig|Kate McKinnon|Leslie Jones|Chris Hemsworth,2016,5.3,2142
95,Armageddon,Action|Thriller|Science Fiction|Adventure,Michael Bay,Bruce Willis|Billy Bob Thornton|Ben Affleck|Liv Tyler|Will Patton,1998,6.4,2482
608,Men in Black II,Action|Adventure|Comedy|Science Fiction,Barry Sonnenfeld,Tommy Lee Jones|Will Smith|Rip Torn|Lara Flynn Boyle|Johnny Knoxville,2002,6.0,3114
2310,Beowulf,Adventure|Action|Animation,Robert Zemeckis,Ray Winstone|Angelina Jolie|Anthony Hopkins|Robin Wright|John Malkovich,2007,5.5,841
140300,Kung Fu Panda 3,Action|Adventure|Animation|Comedy|Family,Jennifer Yuh Nelson,Jack Black|Bryan Cranston|Dustin Hoffman|Angelina Jolie|J.K. Simmons,2016,6.7,1603
56292,Mission: Impossible - Ghost Protocol,Action|Thriller|Adventure,Brad Bird,Tom Cruise|Jeremy Renner|Simon Pegg|Paula Patton|Anil Kapoor,2011,6.8,3972
81188,Rise of the Guardians,Fantasy|Animation|Family,Peter Ramsey,Chris Pine|Alec Baldwin|Jude Law|Isla Fisher|Hugh Jackman,2012,7.1,1922
